"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.6","104.18.26.90","TCP","54","57763  >  443 [FIN, ACK] Seq=1 Ack=1 Win=254 Len=0"
"2","0.036095","104.18.26.90","192.168.0.6","TCP","56","443  >  57763 [ACK] Seq=1 Ack=2 Win=10 Len=0"
"3","0.246964","192.168.0.6","172.172.255.217","TCP","55","49441  >  443 [ACK] Seq=1 Ack=1 Win=250 Len=1"
"4","0.417809","172.172.255.217","192.168.0.6","TCP","66","443  >  49441 [ACK] Seq=1 Ack=2 Win=7389 Len=0 SLE=1 SRE=2"
"5","1.303839","31.13.94.54","192.168.0.6","SSL","100","Continuation Data"
"6","1.347129","192.168.0.6","31.13.94.54","TCP","54","57121  >  443 [ACK] Seq=1 Ack=47 Win=255 Len=0"
"7","1.772905","192.168.0.6","200.61.188.26","UDP","128","56505  >  19192 Len=86"
"8","1.772963","192.168.0.6","181.30.140.134","DNS","75","Standard query 0x2ae1 A play.google.com"
"9","1.795324","200.61.188.26","192.168.0.6","UDP","591","19192  >  56505 Len=549"
"10","1.796861","192.168.0.6","142.251.134.78","QUIC","1292","Initial, DCID=7ca395766bfd3309, PKN: 1, PING, PING, CRYPTO, PADDING, PING, CRYPTO, PING, PADDING, CRYPTO, PING, PADDING, CRYPTO, PING, PING, PING"
"11","1.796932","192.168.0.6","142.251.134.78","QUIC","1292","Initial, DCID=7ca395766bfd3309, PKN: 2, CRYPTO, PADDING, CRYPTO, PING, CRYPTO, CRYPTO, PING, PADDING, PING, PADDING, CRYPTO, PING, CRYPTO, PING, PING, PING, CRYPTO, PADDING, CRYPTO, PING, PING"
"12","1.797042","192.168.0.6","142.251.134.78","QUIC","121","0-RTT, DCID=7ca395766bfd3309"
"13","1.800181","181.30.140.134","192.168.0.6","DNS","91","Standard query response 0x2ae1 A play.google.com A 142.250.79.110"
"14","1.815085","142.251.134.78","192.168.0.6","QUIC","82","Initial, SCID=fca395766bfd3309, PKN: 1, ACK"
"15","1.815509","142.251.134.78","192.168.0.6","QUIC","1292","Initial, SCID=fca395766bfd3309, PKN: 2, ACK, PADDING"
"16","1.835661","142.251.134.78","192.168.0.6","QUIC","1292","Initial, SCID=fca395766bfd3309, PKN: 3, CRYPTO, PADDING"
"17","1.835661","142.251.134.78","192.168.0.6","QUIC","341","Protected Payload (KP0)"
"18","1.835865","142.251.134.78","192.168.0.6","QUIC","672","Protected Payload (KP0)"
"19","1.836273","192.168.0.6","142.251.134.78","QUIC","120","Handshake, DCID=fca395766bfd3309"
"20","1.836406","192.168.0.6","142.251.134.78","QUIC","73","Protected Payload (KP0), DCID=fca395766bfd3309"
"21","1.836654","192.168.0.6","142.251.134.78","QUIC","1288","Protected Payload (KP0), DCID=fca395766bfd3309"
"22","1.836735","192.168.0.6","142.251.134.78","QUIC","1292","Protected Payload (KP0), DCID=fca395766bfd3309"
"23","1.836773","192.168.0.6","142.251.134.78","QUIC","1288","Protected Payload (KP0), DCID=fca395766bfd3309"
"24","1.836804","192.168.0.6","142.251.134.78","QUIC","1292","Protected Payload (KP0), DCID=fca395766bfd3309"
"25","1.836833","192.168.0.6","142.251.134.78","QUIC","1112","Protected Payload (KP0), DCID=fca395766bfd3309"
"26","1.848439","142.251.134.78","192.168.0.6","QUIC","67","Protected Payload (KP0)"
"27","1.857396","142.251.134.78","192.168.0.6","QUIC","162","Protected Payload (KP0)"
"28","1.857396","142.251.134.78","192.168.0.6","QUIC","67","Protected Payload (KP0)"
"29","1.857396","142.251.134.78","192.168.0.6","QUIC","67","Protected Payload (KP0)"
"30","1.857975","142.251.134.78","192.168.0.6","QUIC","71","Protected Payload (KP0)"
"31","1.857975","142.251.134.78","192.168.0.6","QUIC","67","Protected Payload (KP0)"
"32","1.858343","192.168.0.6","142.251.134.78","QUIC","74","Protected Payload (KP0), DCID=fca395766bfd3309"
"33","1.891288","142.251.134.78","192.168.0.6","QUIC","882","Protected Payload (KP0)"
"34","1.891288","142.251.134.78","192.168.0.6","QUIC","93","Protected Payload (KP0)"
"35","1.891775","192.168.0.6","142.251.134.78","QUIC","77","Protected Payload (KP0), DCID=fca395766bfd3309"
"36","1.946743","192.168.0.6","142.251.134.78","QUIC","72","Protected Payload (KP0), DCID=fca395766bfd3309"
"37","1.951908","142.251.134.78","192.168.0.6","QUIC","66","Protected Payload (KP0)"
"38","1.964347","142.251.134.78","192.168.0.6","QUIC","67","Protected Payload (KP0)"
"39","3.767921","192.168.0.6","142.251.134.3","QUIC","1292","Initial, DCID=d8be49bfb306d30b, PKN: 1, CRYPTO, CRYPTO, CRYPTO, PING, PING, PADDING, CRYPTO, CRYPTO, PING, PADDING, CRYPTO, CRYPTO, PING, PADDING, PING, PADDING, PING, PING, PADDING"
"40","3.768027","192.168.0.6","142.251.134.3","QUIC","1292","Initial, DCID=d8be49bfb306d30b, PKN: 2, CRYPTO"
"41","3.768063","192.168.0.6","142.251.134.3","QUIC","1292","Initial, DCID=d8be49bfb306d30b, PKN: 3, CRYPTO, PADDING, CRYPTO, PADDING, PING, CRYPTO, CRYPTO, PING, PING, PADDING, PING, PADDING, CRYPTO, PING, CRYPTO, PADDING, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO"
"42","3.768195","192.168.0.6","142.251.134.3","QUIC","121","0-RTT, DCID=d8be49bfb306d30b"
"43","3.768429","192.168.0.6","142.251.134.3","QUIC","841","0-RTT, DCID=d8be49bfb306d30b"
"44","3.796347","142.251.134.3","192.168.0.6","QUIC","82","Initial, SCID=f8be49bfb306d30b, PKN: 1, ACK"
"45","3.796347","142.251.134.3","192.168.0.6","QUIC","82","Initial, SCID=f8be49bfb306d30b, PKN: 2, ACK"
"46","3.796693","142.251.134.3","192.168.0.6","QUIC","1292","Initial, SCID=f8be49bfb306d30b, PKN: 3, ACK, PADDING"
"47","3.797006","142.251.134.3","192.168.0.6","QUIC","1292","Initial, SCID=f8be49bfb306d30b, PKN: 4, ACK, PADDING"
"48","3.819767","142.251.134.3","192.168.0.6","QUIC","1292","Initial, SCID=f8be49bfb306d30b, PKN: 5, CRYPTO, PADDING"
"49","3.819767","142.251.134.3","192.168.0.6","QUIC","351","Protected Payload (KP0)"
"50","3.820120","142.251.134.3","192.168.0.6","QUIC","983","Protected Payload (KP0)"
"51","3.820120","142.251.134.3","192.168.0.6","QUIC","68","Protected Payload (KP0)"
"52","3.820120","142.251.134.3","192.168.0.6","QUIC","66","Protected Payload (KP0)"
"53","3.820375","142.251.134.3","192.168.0.6","QUIC","64","Protected Payload (KP0)"
"54","3.820578","192.168.0.6","142.251.134.3","QUIC","120","Handshake, DCID=f8be49bfb306d30b"
"55","3.820712","192.168.0.6","142.251.134.3","QUIC","73","Protected Payload (KP0), DCID=f8be49bfb306d30b"
"56","3.820820","192.168.0.6","142.251.134.3","QUIC","73","Protected Payload (KP0), DCID=f8be49bfb306d30b"
"57","3.843017","142.251.134.3","192.168.0.6","QUIC","559","Protected Payload (KP0)"
"58","3.843771","142.251.134.3","192.168.0.6","QUIC","162","Protected Payload (KP0)"
"59","3.844485","192.168.0.6","142.251.134.3","QUIC","77","Protected Payload (KP0), DCID=f8be49bfb306d30b"
"60","3.868165","142.251.134.3","192.168.0.6","QUIC","67","Protected Payload (KP0)"
"61","3.888234","192.168.0.6","142.251.129.138","UDP","71","54210  >  443 Len=29"
"62","3.920869","142.251.129.138","192.168.0.6","UDP","68","443  >  54210 Len=26"
"63","4.096895","142.251.129.142","192.168.0.6","UDP","79","443  >  55425 Len=37"
"64","4.105075","192.168.0.6","142.251.129.142","UDP","75","55425  >  443 Len=33"
"65","5.545363","192.168.0.6","216.58.202.106","UDP","71","52432  >  443 Len=29"
"66","5.560981","31.13.94.54","192.168.0.6","SSL","119","Continuation Data"
"67","5.561664","192.168.0.6","31.13.94.54","SSL","101","Continuation Data"
"68","5.586273","216.58.202.106","192.168.0.6","UDP","67","443  >  52432 Len=25"
"69","5.589021","31.13.94.54","192.168.0.6","TCP","56","443  >  57121 [ACK] Seq=112 Ack=48 Win=789 Len=0"
"70","7.207810","192.168.0.6","35.189.87.168","TCP","55","61900  >  443 [ACK] Seq=1 Ack=1 Win=251 Len=1"
"71","7.448073","35.189.87.168","192.168.0.6","TCP","66","443  >  61900 [ACK] Seq=1 Ack=2 Win=509 Len=0 SLE=1 SRE=2"
"72","7.731165","192.168.0.6","34.237.73.95","TLSv1.2","295","Application Data"
"73","7.741122","34.120.52.64","192.168.0.6","TLSv1.2","81","Application Data"
"74","7.741561","192.168.0.6","34.120.52.64","TLSv1.2","85","Application Data"
"75","7.765699","34.120.52.64","192.168.0.6","TCP","56","443  >  56334 [ACK] Seq=28 Ack=32 Win=559 Len=0"
"76","7.772889","31.13.94.54","192.168.0.6","SSL","130","Continuation Data"
"77","7.773739","192.168.0.6","31.13.94.54","SSL","126","Continuation Data"
"78","7.804586","31.13.94.54","192.168.0.6","TCP","56","443  >  57121 [ACK] Seq=188 Ack=120 Win=789 Len=0"
"79","7.910196","34.237.73.95","192.168.0.6","TLSv1.2","316","Application Data"
"80","7.962324","192.168.0.6","34.237.73.95","TCP","54","57046  >  443 [ACK] Seq=242 Ack=263 Win=251 Len=0"
"81","8.028111","192.168.0.6","38.51.67.123","TLSv1.2","1112","Application Data"
"82","8.049921","38.51.67.123","192.168.0.6","TCP","56","443  >  57650 [ACK] Seq=1 Ack=1059 Win=464 Len=0"
"83","8.208355","38.51.67.123","192.168.0.6","TLSv1.2","1103","Application Data"
"84","8.259553","192.168.0.6","38.51.67.123","TCP","54","57650  >  443 [ACK] Seq=1059 Ack=1050 Win=255 Len=0"
"85","9.887684","20.66.110.161","192.168.0.6","TCP","56","443  >  57762 [ACK] Seq=1 Ack=1 Win=1 Len=0"
"86","9.887834","192.168.0.6","20.66.110.161","TCP","54","[TCP ACKed unseen segment] 57762  >  443 [ACK] Seq=1 Ack=2 Win=252 Len=0"
"87","10.138793","142.251.129.138","192.168.0.6","UDP","557","443  >  54210 Len=515"
"88","10.155207","192.168.0.6","142.251.129.138","UDP","75","54210  >  443 Len=33"
"89","10.340536","192.168.0.6","142.251.129.138","UDP","71","54210  >  443 Len=29"
"90","10.373313","142.251.129.138","192.168.0.6","UDP","68","443  >  54210 Len=26"
"91","10.571510","31.13.94.54","192.168.0.6","SSL","173","Continuation Data"
"92","10.573370","31.13.94.54","192.168.0.6","SSL","144","Continuation Data"
"93","10.573456","192.168.0.6","31.13.94.54","TCP","54","57121  >  443 [ACK] Seq=120 Ack=397 Win=254 Len=0"
"94","10.576742","192.168.0.6","31.13.94.54","SSL","138","Continuation Data"
"95","10.577027","192.168.0.6","31.13.94.54","SSL","138","Continuation Data"
"96","10.587946","192.168.0.6","142.251.129.138","UDP","71","54210  >  443 Len=29"
"97","10.605028","31.13.94.54","192.168.0.6","TCP","56","443  >  57121 [ACK] Seq=397 Ack=204 Win=789 Len=0"
"98","10.608050","31.13.94.54","192.168.0.6","TCP","56","443  >  57121 [ACK] Seq=397 Ack=288 Win=789 Len=0"
"99","10.620785","142.251.129.138","192.168.0.6","UDP","68","443  >  54210 Len=26"
"100","10.822392","192.168.0.6","142.251.129.138","UDP","71","54210  >  443 Len=29"
"101","10.855781","142.251.129.138","192.168.0.6","UDP","68","443  >  54210 Len=26"
"102","10.994119","192.168.0.6","108.156.83.58","TCP","55","57807  >  443 [ACK] Seq=1 Ack=1 Win=253 Len=1 [TCP PDU reassembled in 5140]"
"103","11.071451","192.168.0.6","142.251.129.138","UDP","71","54210  >  443 Len=29"
"104","11.104568","142.251.129.138","192.168.0.6","UDP","68","443  >  54210 Len=26"
"105","11.128970","216.58.202.106","192.168.0.6","UDP","200","443  >  52432 Len=158"
"106","11.148112","108.156.83.58","192.168.0.6","TCP","66","443  >  57807 [ACK] Seq=1 Ack=2 Win=140 Len=0 SLE=1 SRE=2"
"107","11.149289","192.168.0.6","216.58.202.106","UDP","75","52432  >  443 Len=33"
"108","11.318667","192.168.0.6","142.251.129.138","UDP","71","54210  >  443 Len=29"
"109","11.334078","192.168.0.6","216.58.202.106","UDP","71","52432  >  443 Len=29"
"110","11.351145","142.251.129.138","192.168.0.6","UDP","68","443  >  54210 Len=26"
"111","11.371780","216.58.202.106","192.168.0.6","UDP","67","443  >  52432 Len=25"
"112","11.479004","13.35.248.16","192.168.0.6","TLSv1.2","154","Application Data"
"113","11.479350","192.168.0.6","13.35.248.16","TLSv1.2","158","Application Data"
"114","11.521123","192.168.0.6","2.19.10.159","TCP","55","57811  >  443 [ACK] Seq=1 Ack=1 Win=252 Len=1"
"115","11.529797","13.35.248.16","192.168.0.6","TCP","56","443  >  56035 [ACK] Seq=101 Ack=105 Win=149 Len=0"
"116","11.562920","2.19.10.159","192.168.0.6","TCP","66","443  >  57811 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2"
"117","11.566667","192.168.0.6","142.251.129.138","UDP","71","54210  >  443 Len=29"
"118","11.582183","192.168.0.6","216.58.202.106","UDP","71","52432  >  443 Len=29"
"119","11.598966","142.251.129.138","192.168.0.6","UDP","68","443  >  54210 Len=26"
"120","11.619450","216.58.202.106","192.168.0.6","UDP","67","443  >  52432 Len=25"
"121","11.824872","192.168.0.6","216.58.202.106","UDP","71","52432  >  443 Len=29"
"122","11.840253","192.168.0.6","200.61.188.26","UDP","83","56505  >  19192 Len=41"
"123","11.859722","200.61.188.26","192.168.0.6","UDP","83","19192  >  56505 Len=41"
"124","11.862655","216.58.202.106","192.168.0.6","UDP","67","443  >  52432 Len=25"
