epoch,learning_rate,loss,mae,mape,val_learning_rate,val_loss,val_mae,val_mape
0,0.0010000000474974513,76690.609375,23.48857879638672,18592818.0,NA,NA,NA,NA
1,0.0010000000474974513,76690.4609375,23.482587814331055,15705849.0,NA,NA,NA,NA
2,0.0010000000474974513,76690.2109375,23.48436164855957,16602556.0,NA,NA,NA,NA
3,0.0010000000474974513,76690.75,23.482799530029297,15896990.0,NA,NA,NA,NA
4,0.0010000000474974513,76690.6171875,23.48519515991211,17029514.0,NA,NA,NA,NA
5,0.0010000000474974513,76690.2109375,23.48748016357422,18114202.0,NA,NA,NA,NA
6,0.0010000000474974513,76690.421875,23.48676300048828,17956108.0,NA,NA,NA,NA
7,0.0010000000474974513,76690.53125,23.483545303344727,15725609.0,NA,NA,NA,NA
8,0.0005000000237487257,76690.3046875,23.480077743530273,14660391.0,NA,NA,NA,NA
9,0.0005000000237487257,76690.7265625,23.475624084472656,12582864.0,NA,NA,NA,NA
10,0.0005000000237487257,76690.515625,23.476865768432617,13235111.0,NA,NA,NA,NA
11,0.0005000000237487257,76690.484375,23.47650146484375,12996681.0,NA,NA,NA,NA
12,0.0005000000237487257,76690.0234375,23.477508544921875,13531138.0,NA,NA,NA,NA
13,0.0005000000237487257,76690.6484375,23.475292205810547,12526376.0,NA,NA,NA,NA
14,0.0005000000237487257,76690.5390625,23.478540420532227,14109500.0,NA,NA,NA,NA
15,0.0005000000237487257,76690.5703125,23.480911254882812,15307463.0,NA,NA,NA,NA
16,0.0005000000237487257,76690.6015625,23.47661781311035,13148704.0,NA,NA,NA,NA
17,0.0005000000237487257,76690.5,23.478527069091797,14182344.0,NA,NA,NA,NA
18,0.0002500000118743628,76690.7421875,23.475778579711914,12901578.0,NA,NA,NA,NA
19,0.0002500000118743628,76690.453125,23.472036361694336,11125429.0,NA,NA,NA,NA
20,0.0002500000118743628,76690.3984375,23.475608825683594,12851991.0,NA,NA,NA,NA
21,0.0002500000118743628,76690.453125,23.474082946777344,12089113.0,NA,NA,NA,NA
22,0.0002500000118743628,76690.7421875,23.473037719726562,11618341.0,NA,NA,NA,NA
